시점,연령,성별,A형간염,유행성이하선염,B형간염(급성),수두,성홍열,쯔쯔가무시증,신증후군출혈열,결핵,후천성면역결핍증
2001,0~9세,남자,-,606,-,-,21,32,2,116,0
2001,0~9세,여자,-,379,-,-,19,12,0,100,0
2001,10~19,남자,-,381,-,-,6,18,3,1759,5
2001,10~19,여자,-,247,-,-,2,8,3,1116,1
2001,20~29,남자,-,11,-,-,0,38,16,4386,50
2001,20~29,여자,-,12,-,-,1,38,7,3728,11
2001,30~39,남자,-,10,-,-,0,64,34,3646,104
2001,30~39,여자,-,10,-,-,0,104,11,2023,10
2001,40~49,남자,-,4,-,-,0,157,39,3491,67
2001,40~49,여자,-,3,-,-,0,250,20,1334,7
2001,50~59,남자,-,0,-,-,0,188,28,2717,46
2001,50~59,여자,-,2,-,-,0,368,38,969,5
2001,60~69,남자,-,0,-,-,0,252,32,2908,17
2001,60~69,여자,-,2,-,-,0,508,37,1416,1
2001,70세이상,남자,-,0,-,-,0,203,25,2262,3
2001,70세이상,여자,-,1,-,-,0,397,28,2152,0
2002,0~9세,남자,-,307,-,-,31,16,1,89,1
2002,0~9세,여자,-,195,-,-,19,22,0,75,0
2002,10~19,남자,-,151,-,-,1,9,5,1442,2
2002,10~19,여자,-,95,-,-,3,6,0,903,3
2002,20~29,남자,-,3,-,-,0,21,19,3876,88
2002,20~29,여자,-,5,-,-,0,15,2,3404,9
2002,30~39,남자,-,1,-,-,0,53,19,3397,113
2002,30~39,여자,-,4,-,-,0,55,12,1941,8
2002,40~49,남자,-,0,-,-,0,82,37,3358,96
2002,40~49,여자,-,0,-,-,0,148,16,1330,6
2002,50~59,남자,-,0,-,-,0,114,36,2523,45
2002,50~59,여자,-,2,-,-,0,252,29,919,7
2002,60~69,남자,-,1,-,-,0,233,47,2843,16
2002,60~69,여자,-,0,-,-,0,420,49,1457,1
2002,70세이상,남자,-,0,-,-,0,162,36,2278,2
2002,70세이상,여자,-,0,-,-,0,311,28,2175,0
