矫痢,楷飞,A屈埃堪,蜡青己捞窍急堪,B屈埃堪(鞭己),荐滴,己全凯,玛玛啊公矫刘,脚刘饶焙免趋凯,搬琴,饶玫己搁开搬翘刘,脚辆皑堪捍刘饶焙
2001,0~4技,-,228,-,-,14,18,1,113,0,0
2001,5~9技,-,757,-,-,26,26,1,103,0,0
2001,10~14技,-,524,-,-,7,10,1,331,0,0
2001,15~19技,-,104,-,-,1,16,5,2544,6,0
2001,20~29技,-,23,-,-,1,76,23,8114,61,0
2001,30~39技,-,20,-,-,0,168,45,5669,114,0
2001,40~49技,-,7,-,-,0,407,59,4825,74,0
2001,50~59技,-,2,-,-,0,556,66,3686,51,0
2001,60~69技,-,2,-,-,0,760,69,4324,18,0
2001,70技捞惑,-,1,-,-,0,600,53,4414,3,0
2002,0~4技,-,172,-,-,16,20,0,84,0,0
2002,5~9技,-,330,-,-,34,18,1,80,1,0
2002,10~14技,-,214,-,-,4,9,0,232,0,0
2002,15~19技,-,32,-,-,0,6,5,2113,5,0
2002,20~29技,-,8,-,-,0,36,21,7280,98,0
2002,30~39技,-,5,-,-,0,108,31,5338,121,0
2002,40~49技,-,0,-,-,0,230,53,4689,102,0
2002,50~59技,-,2,-,-,0,366,65,3441,52,0
2002,60~69技,-,1,-,-,0,653,96,4300,17,0
2002,70技捞惑,-,0,-,-,0,473,64,4453,2,0
2003,0~4技,-,213,-,-,41,6,1,102,1,0
2003,5~9技,-,423,-,-,60,10,1,98,0,0
2003,10~14技,-,572,-,-,4,8,3,242,1,0
2003,15~19技,-,272,-,-,0,12,5,2009,5,0
2003,20~29技,-,17,-,-,2,30,27,6790,126,0
2003,30~39技,-,8,-,-,0,62,47,5100,197,0
2003,40~49技,-,10,-,-,0,171,78,4605,122,0
2003,50~59技,-,1,-,-,0,265,72,3296,56,0
2003,60~69技,-,1,-,-,0,474,95,3988,21,0
2003,70技捞惑,-,1,-,-,0,377,63,4457,5,0
2004,0~4技,-,242,-,-,41,25,1,79,0,0
2004,5~9技,-,433,-,-,36,30,0,41,0,0
2004,10~14技,-,589,-,-,3,27,0,208,1,0
2004,15~19技,-,445,-,-,0,28,4,2009,11,0
2004,20~29技,-,14,-,-,0,105,21,6474,145,0
2004,30~39技,-,9,-,-,0,297,48,5349,203,0
2004,40~49技,-,5,-,-,0,661,59,4762,145,0
2004,50~59技,-,4,-,-,0,928,81,3504,69,0
2004,60~69技,-,3,-,-,0,1375,122,4092,29,0
2004,70技捞惑,-,0,-,-,0,1222,91,4985,7,0
2005,0~4技,-,164,-,748,40,27,0,123,0,0
2005,5~9技,-,468,-,930,42,44,0,79,0,0
2005,10~14技,-,690,-,188,4,31,2,251,0,0
2005,15~19技,-,469,-,21,1,48,6,2007,16,0
2005,20~29技,-,38,-,18,0,152,23,6827,138,0
2005,30~39技,-,18,-,22,0,372,39,5731,228,0
2005,40~49技,-,8,-,7,0,896,65,5381,160,0
2005,50~59技,-,3,-,0,0,1408,79,4105,97,0
2005,60~69技,-,5,-,0,0,2022,111,4632,37,0
2005,70技捞惑,-,0,-,0,0,1780,96,6133,4,0
2006,0~4技,-,189,-,4146,47,27,2,67,1,0
2006,5~9技,-,548,-,5283,59,35,1,80,0,0
2006,10~14技,-,764,-,1082,2,33,3,237,0,0
2006,15~19技,-,513,-,130,0,36,5,2300,13,0
2006,20~29技,-,38,-,160,0,148,28,6589,158,0
2006,30~39技,-,18,-,186,0,350,41,5596,220,0
2006,40~49技,-,11,-,20,0,963,56,5268,182,0
2006,50~59技,-,4,-,9,0,1378,88,4351,106,0
2006,60~69技,-,2,-,7,0,1806,98,4521,52,0
2006,70技捞惑,-,2,-,4,0,1704,100,6352,17,0
2007,0~4技,-,331,-,7038,69,20,1,61,0,0
2007,5~9技,-,941,-,10189,71,29,1,63,0,0
2007,10~14技,-,1468,-,2090,3,41,2,250,0,0
2007,15~19技,-,1665,-,255,1,35,5,2361,17,0
2007,20~29技,-,65,-,273,0,147,20,6087,130,0
2007,30~39技,-,45,-,357,0,320,37,5411,213,0
2007,40~49技,-,29,-,54,0,795,70,5272,191,0
2007,50~59技,-,6,-,12,0,1281,74,4430,110,0
2007,60~69技,-,7,-,7,1,1701,122,4405,56,0
2007,70技捞惑,-,0,-,9,1,1653,118,6370,23,0
2008,0~4技,-,477,-,8572,72,20,0,43,0,0
2008,5~9技,-,1245,-,10964,75,25,0,52,0,0
2008,10~14技,-,1163,-,2044,2,26,1,226,0,0
2008,15~19技,-,1410,-,366,1,35,6,2030,20,0
2008,20~29技,-,131,-,367,0,121,18,5712,154,0
2008,30~39技,-,63,-,434,1,259,35,5074,206,0
2008,40~49技,-,31,-,54,0,735,72,5149,224,0
2008,50~59技,-,15,-,29,0,1320,85,4590,137,0
2008,60~69技,-,5,-,8,0,1662,93,4375,39,0
2008,70技捞惑,-,2,-,11,0,1854,65,6906,17,0
2009,0~4技,-,513,-,9422,58,23,0,46,0,86528
2009,5~9技,-,1325,-,12171,65,26,1,51,0,170277
2009,10~14技,-,1417,-,2219,4,35,0,251,0,144071
2009,15~19技,-,2607,-,402,0,29,2,2170,27,126450
2009,20~29技,-,323,-,372,0,98,21,5722,160,79678
2009,30~39技,-,105,-,428,0,215,33,5189,199,46773
2009,40~49技,-,72,-,121,0,600,47,5382,184,26461
2009,50~59技,-,23,-,20,0,1076,61,4907,128,16887
2009,60~69技,-,8,-,27,0,1315,74,4604,59,6143
2009,70技捞惑,-,6,-,15,0,1578,95,7523,11,3643
